Nome do Evento;Link de Inscrição;Link da Imagem;Data;Horário;Cidade;Distância;Organizador;Preço;Link do Edital;precos_entries
2 Corrida Da Incluso;https://www.smcrono.com.br/evento/2026/corrida-de-rua/2-corrida-da-incluso;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-fc0986949647497600c6befdc3085d7a.png;19 de abril de 2026;07h00;Esperança;5km (corrida), 3km (corrida), 1km (corrida);SmCrono;R$ 70,00;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-a736167f41af5384f19966d6ef292938.pdf;"[""R$ 70,00 | 1 KM — INCLUSÃO"", ""R$ 70,00 | 3 KM — LOCAL"", ""R$ 70,00 | 3 KM — PCD(CADEIRANTE)"", ""R$ 70,00 | 3 KM — PCD(NÃO-CADEIRANTE)"", ""R$ 70,00 | 3 KM — VISITANTE"", ""R$ 70,00 | 5KM — LOCAL"", ""R$ 70,00 | 5KM — PCD(CADEIRANTE)"", ""R$ 70,00 | 5KM — PCD(NÃO-CADEIRANTE)"", ""R$ 70,00 | 5KM — VISITANTE""]"
Corre Cariri;https://www.smcrono.com.br/evento/2026/corrida-de-rua/corre-cariri;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-7804a3016714912d233e024ca0003cbd.png;3 de maio de 2026;16h30;Santo Andre;5km (corrida);SmCrono;R$ 60,00 a R$ 80,00;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-ccb085fe04a3e8c950ef74eb24262ebe.pdf;"[""R$ 60,00 | 5KM — PCD NCAD (NÃO CADEIRANTE)"", ""R$ 60,00 | 5KM — 60+"", ""R$ 70,00 | 5KM — LOCAL KIT BÁSICO"", ""R$ 70,00 | 5KM — VISITANTE KIT BÁSICO"", ""R$ 80,00 | 5KM — LOCAL"", ""R$ 80,00 | 5KM — VISITANTE""]"
2 Corrida Jogos De Vero 2026;https://www.smcrono.com.br/evento/2026/corrida-de-rua/2-corrida-jogos-de-vero-2026;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-a9b7f87f05526a3eed239196ecb6f4e0.jpeg;1 de fevereiro de 2026;06h00;São João Do Rio Do Peixe;5km (corrida);SmCrono;Valor não encontrado;edital não encontrado;[]
2 Corrida Arena Belem Esportes;https://www.smcrono.com.br/evento/2026/corrida-de-rua/2-corrida-arena-belem-esportes;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-49ca5a1637e8bc65e1116e4bcde85bb4.png;31 de maio de 2026;06h00;Belem;5km (corrida);SmCrono;R$ 29,90 a R$ 69,90;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-fe815558a91ff96db6139bbc2d6599fe.pdf;"[""R$ 29,90 | 5KM — PCD NCAD - kit básico (numero de peito e chip)"", ""R$ 34,90 | 5KM — PCD NCAD"", ""R$ 39,90 | 5KM — GERAL LOCAL - kit básico (numero de peito e chip)"", ""R$ 39,90 | 5KM — GERAL VISITANTE - kit básico (numero de peito e chip)"", ""R$ 39,90 | 5KM — SEGURANÇA PÚBLICA - kit básico (numero de peito e chip)"", ""R$ 69,90 | 5KM — GERAL LOCAL"", ""R$ 69,90 | 5KM — GERAL VISITANTE"", ""R$ 69,90 | 5KM — SEGURANÇA PÚBLICA""]"
Desafio Uphill Teixeira;https://www.smcrono.com.br/evento/2026/corrida-de-rua/desafio-uphill-teixeira;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-cf03b26810611737021dc49c09df8c8f.jpeg;24 de maio de 2026;06h00;Teixeira;14km (corrida);SmCrono;R$ 99,00;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-810a3329c4edc1307a1e2ace26176a04.pdf;"[""R$ 99,00 | 14KM — GERAL""]"
Desafio Serra Run;https://www.smcrono.com.br/evento/2026/trail-run/desafio-serra-run;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-25353a7335d85ebdbe01fbbf5876db93.png;18 de janeiro de 2026;06h00;Serra Da Raiz;5km (corrida);SmCrono;Valor não encontrado;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-477-2670a2e81fbcd30f4ca8a2f7b821c8ce.pdf;[]
Mvb Run;https://www.smcrono.com.br/evento/2026/corrida-de-rua/mvb-run;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-96832a4560cf5a80462e84f1ad394ae8.png;17 de maio de 2026;06h30;Soledade;5km (corrida), 3km (corrida);SmCrono;R$ 50,00 a R$ 100,00;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-2690c7a9e867e3cb8a1a5cc103ac0f87.pdf;"[""R$ 50,00 | 3KM — 60+"", ""R$ 50,00 | 5KM — 60+"", ""R$ 70,00 | 3KM — JUVENIL"", ""R$ 70,00 | 3KM — LOCAL"", ""R$ 70,00 | 3KM — VISITANTE"", ""R$ 70,00 | 5KM — LOCAL"", ""R$ 70,00 | 5KM — VISITANTE"", ""R$ 100,00 | 3KM — PCD NCAD (não cadeirante)""]"
Desafio Das Praias Litoral Sul;https://www.smcrono.com.br/evento/2614/desafio-das-praias-litoral-sul;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-e709cabeaf86c2073b10247d6bb5647e.jpg;23 de agosto de 2026;06h00;Jacumã;7km (corrida);SmCrono;R$ 45,00 a R$ 90,00;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-5346652b74a5ac31c2ad12a590bd5d60.pdf;"[""R$ 45,00 | 7KM — IDOSO 60+ LOCAL"", ""R$ 45,00 | 7KM — IDOSO 60+ VISITANTE"", ""R$ 90,00 | 7KM — GERAL LOCAL"", ""R$ 90,00 | 7KM — PCD NÃO CADEIRANTE"", ""R$ 90,00 | 7KM — GERAL VISITANTE""]"
5 Milhas Color;https://www.smcrono.com.br/evento/2026/corrida-de-rua/5-milhas-color;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-fbaec213732227cd4dd163e1d1c6b6e6.jpeg;8 de fevereiro de 2026;06h00;Campina Grande;4km (corrida), 8km (corrida);SmCrono;Valor não encontrado;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-33fdb515ed1b1baab3a0568e9daa56d4.pdf;[]
1 Desafio Gurjao Mtb;https://www.smcrono.com.br/evento/2026/enduro-mtb/1-desafio-gurjao-mtb;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-6461a0c099d2a2cbab72bf7fd19f8236.jpeg;2 de janeiro de 2026;07h00;Gurjão;65km (corrida), 37km (corrida);SmCrono;Valor não encontrado;edital não encontrado;[]
Corrida De Bike De Serra Branca;https://www.smcrono.com.br/evento/2026/enduro-mtb/corrida-de-bike-de-serra-branca;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-60596cd1fbbd44df711e8cb3d834c3eb.png;12 de abril de 2026;08h30;Serra Branca;38km (corrida), 65km (corrida);SmCrono;R$ 80,00;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-25e359549b42e3384ab8586eba0be4f8.pdf;"[""R$ 80,00 | 38KM — LOCAL"", ""R$ 80,00 | 38KM — INFANTO JUVENIL"", ""R$ 80,00 | 38KM — INICIANTE"", ""R$ 80,00 | 38KM — PCD"", ""R$ 80,00 | 65KM — SUB 23"", ""R$ 80,00 | 65KM — SUB 30"", ""R$ 80,00 | 65KM — TURISMO A (31-39)"", ""R$ 80,00 | 65KM — TURISMO B (40-49)"", ""R$ 80,00 | 65KM — TURISMO C (50+)"", ""R$ 80,00 | 65KM — ELITE""]"
Desafio Uphill 15K;https://www.smcrono.com.br/evento/2026/corrida-de-rua/desafio-uphill-15k;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-d6c294b82d95a5fe701ce5b3def3c93d.jpg;13 de setembro de 2026;06h00;Alagoa Grande - Areia;15km (corrida);SmCrono;R$ 89,00;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-ef7af6407b147081b74e5c4654c1d4b3.pdf;"[""R$ 89,00 | 15KM — KIT ESSENCIAL""]"
2 Pombal Run;https://www.smcrono.com.br/evento/2026/corrida-de-rua/2-pombal-run;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-0dd92640daf8d37ff20f9d1829735c32.png;29 de março de 2026;06h00;Pombal;5km (corrida), 3km (corrida);SmCrono;R$ 45,00 a R$ 90,00;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-0dcbfd569749b1e3babb18790d5f2ec2.pdf;"[""R$ 45,00 | 3KM — IDOSO 60+"", ""R$ 45,00 | 5KM — IDOSO 60+"", ""R$ 70,00 | 3KM — PCD (NÃO CADEIRANTE)"", ""R$ 70,00 | 5KM — PCD (NÃO CADEIRANTE)"", ""R$ 90,00 | 3KM — LOCAL"", ""R$ 90,00 | 3KM — VISITANTE"", ""R$ 90,00 | 5KM — LOCAL"", ""R$ 90,00 | 5KM — VISITANTE""]"
Corrida De Sao Sebastiao 2026;https://www.smcrono.com.br/evento/2026/corrida-de-rua/corrida-de-sao-sebastiao-2026;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-d36ad6e407b89362219b521a6017d636.png;18 de janeiro de 2026;06h00;Campina Grande;5km (corrida), 10km (corrida), 3km (corrida);SmCrono;Valor não encontrado;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-ebcebe4370d1a0a357307719fe07df07.pdf;[]
5 Milhas Cross;https://www.smcrono.com.br/evento/2026/corrida-de-rua/5-milhas-cross;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-acdbd0aa46921029818fb113e0dcb95b.jpeg;7 de junho de 2026;06h30;Campina Grande;8km (corrida);SmCrono;R$ 40,00 a R$ 79,00;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-49a9f398094b04d7722f38f6c63df699.pdf;"[""R$ 40,00 | 8KM — 60+"", ""R$ 79,00 | 8KM — GERAL""]"
